id_exp,L_trend,N_acoes,Fator_Max_SMA,Ativar_Preco_Teto,Custo_bps,Slippage_bps,Custo_Total_bps,Retorno_Acumulado_Pct,Retorno_Acumulado_CDI_Pct,Retorno_Anualizado_Pct,Retorno_Anualizado_CDI_Pct,ALPHA_Anualizado_Pct,Volatilidade_Anualizada_Pct,Sharpe_Ratio,Sharpe,Max_Drawdown_Pct,Tempo_Recuperacao_Dias,Alocacao_Media_Caixa_Pct,Turnover_Mensal_Medio_Pct,Patrimonio_Final_R$
EXP_001,100,4,1.20,True,0.0,0.0,0,302.14624569934944,282.0398862542562,10.166590701268996,9.774156536006707,0.3924341652622898,15.319887068701366,0.025615995960181423,0.025615995960181423,-31.46839483956804,1133,33.20256092793667,56.36085157979986,402146.2456993494
EXP_002,100,4,1.20,True,3.2,4.8,8,271.7884269141295,282.0398862542562,9.566611978608996,9.774156536006707,-0.20754455739770972,15.320497169830865,-0.01354685524216581,-0.01354685524216581,-32.71686110698507,1425,33.19022866079238,56.34129342448505,371788.4269141295
EXP_003,100,4,1.20,True,6.0,9.0,15,247.07513040103873,282.0398862542562,9.043521340175275,9.774156536006707,-0.7306351958314306,15.322023819836462,-0.047685293041087894,-0.047685293041087894,-33.78927038199562,1431,33.18308265114097,56.319115474627544,347075.13040103874
EXP_004,100,4,1.20,False,0.0,0.0,0,55.96295135406108,282.0398862542562,3.1405474890319196,9.774156536006707,-6.633609046974787,20.55197373563847,-0.322772359107859,-0.322772359107859,-59.64836050220052,1634,6.872662499180933,79.05396365954057,155962.95135406108
EXP_005,100,4,1.20,False,3.2,4.8,8,39.639411242698166,282.0398862542562,2.3502496233470893,9.774156536006707,-7.423906912659617,20.55582788327944,-0.3611582542339919,-0.3611582542339919,-60.67842393189068,1634,6.8523096100737835,79.0247198675411,139639.41124269817
EXP_006,100,4,1.20,False,6.0,9.0,15,26.747651988459808,282.0398862542562,1.6627905820463473,9.774156536006707,-8.111365953960359,20.557642811766357,-0.3945669271633489,-0.3945669271633489,-61.57161930720597,1634,6.849173283936425,78.97749692530394,126747.65198845981
EXP_007,100,4,Desativado,True,0.0,0.0,0,375.10134527179764,282.0398862542562,11.451850211031921,9.774156536006707,1.6776936750252158,15.74056848349595,0.10658405868786025,0.10658405868786025,-24.60667879071456,537,31.35502378980317,52.65698648139686,475101.3452717976
EXP_008,100,4,Desativado,True,3.2,4.8,8,341.3806840707393,282.0398862542562,10.882439262572152,9.774156536006707,1.108282726565446,15.74374564214464,0.07039511128779097,0.07039511128779097,-24.786460302032605,1023,31.34309688857696,52.639805864891485,441380.68407073925
EXP_009,100,4,Desativado,True,6.0,9.0,15,313.8479334232356,282.0398862542562,10.38665856497374,9.774156536006707,0.6125020289670324,15.747119646493015,0.03889613102059846,0.03889613102059846,-25.967284531673325,1030,31.33713752023222,52.62002600663457,413847.9334232356
EXP_010,100,4,Desativado,False,0.0,0.0,0,60.221068070313954,282.0398862542562,3.334021412369581,9.774156536006707,-6.440135123637125,21.023690015771894,-0.306327534262813,-0.306327534262813,-62.36266287311785,1634,6.604607519281331,75.71262951498842,160221.06807031395
EXP_011,100,4,Desativado,False,3.2,4.8,8,44.113058202257434,282.0398862542562,2.575054410453692,9.774156536006707,-7.199102125553014,21.027401447610735,-0.34236765505663663,-0.34236765505663663,-63.33722598227519,1634,6.58728463995136,75.6819703885524,144113.05820225744
EXP_012,100,4,Desativado,False,6.0,9.0,15,31.341845486757137,282.0398862542562,1.9149452318015792,9.774156536006707,-7.859211304205127,21.030672897624953,-0.3737023224346135,-0.3737023224346135,-64.1862568139597,1634,6.585086362509846,75.63711394183525,131341.84548675714
EXP_013,100,6,1.20,True,0.0,0.0,0,366.1443605663387,282.0398862542562,11.304363193741928,9.774156536006707,1.5302066577352225,12.405070880896004,0.12335331836690783,0.12335331836690783,-27.25562757078816,1119,45.36176280852822,43.626536004258554,466144.36056633876
EXP_014,100,6,1.20,True,3.2,4.8,8,338.82655872936897,282.0398862542562,10.83767662456776,9.774156536006707,1.063520088561054,12.403526034736638,0.08574336729593003,0.08574336729593003,-28.37671130476308,1124,45.348030034019736,43.62448095533392,438826.558729369
EXP_015,100,6,1.20,True,6.0,9.0,15,316.1768409452814,282.0398862542562,10.429765365476173,9.774156536006707,0.6556088294694673,12.402277585339554,0.05286197030813496,0.05286197030813496,-29.33391136636219,1392,45.3396369130571,43.6168941465607,416176.8409452814
EXP_016,100,6,1.20,False,0.0,0.0,0,68.09550941906177,282.0398862542562,3.679531480771403,9.774156536006707,-6.094625055235303,19.34867083534279,-0.31498933994487627,-0.31498933994487627,-57.41377961169366,1622,10.774758828912166,75.51799950364423,168095.50941906177
EXP_017,100,6,1.20,False,3.2,4.8,8,51.15463975633261,282.0398862542562,2.9160756313162395,9.774156536006707,-6.858080904690467,19.35382751092233,-0.3543526933274625,-0.3543526933274625,-58.51971705681043,1622,10.746385040778758,75.50856132362185,151154.63975633262
EXP_018,100,6,1.20,False,6.0,9.0,15,37.72365889591502,282.0398862542562,2.251925531324539,9.774156536006707,-7.522231004682167,19.355649888045424,-0.388632313985391,-0.388632313985391,-59.45482161047879,1622,10.74007707200063,75.47117829155992,137723.65889591502
EXP_019,100,6,Desativado,True,0.0,0.0,0,396.4942597556787,282.0398862542562,11.793900189022576,9.774156536006707,2.0197436530158708,13.020920181594322,0.15511527794102237,0.15511527794102237,-21.923831820793353,880,42.89248838803865,40.36741472810015,496494.2597556787
EXP_020,100,6,Desativado,True,3.2,4.8,8,369.51723304877027,282.0398862542562,11.36020843961627,9.774156536006707,1.5860519036095644,13.020820451237757,0.12180890670824007,0.12180890670824007,-23.11254065712917,895,42.880312591273345,40.36454040461896,469517.2330487702
EXP_021,100,6,Desativado,True,6.0,9.0,15,347.068975306615,282.0398862542562,10.981270280634137,9.774156536006707,1.2071137446274305,13.020773966534636,0.0927067582718121,0.0927067582718121,-24.13463481965178,956,42.87348157545043,40.35900471277481,447068.975306615
EXP_022,100,6,Desativado,False,0.0,0.0,0,92.71119955691738,282.0398862542562,4.670030386560131,9.774156536006707,-5.104126149446575,19.721980157119084,-0.2588039389951484,-0.2588039389951484,-59.011278200005776,1622,10.023497610124261,69.43277907013335,192711.1995569174
EXP_023,100,6,Desativado,False,3.2,4.8,8,74.8443224189398,282.0398862542562,3.96386986741295,9.774156536006707,-5.810286668593756,19.727086979143856,-0.2945334338889765,-0.2945334338889765,-60.00428244875656,1622,9.99701714144526,69.42346978800616,174844.3224189398
EXP_024,100,6,Desativado,False,6.0,9.0,15,60.520661941120224,282.0398862542562,3.347453119959609,9.774156536006707,-6.426703416047097,19.72933064177779,-0.32574361151605663,-0.32574361151605663,-60.858089449099595,1622,9.991883487569698,69.38707599871559,160520.66194112023
EXP_025,100,8,1.20,True,0.0,0.0,0,364.6696779865004,282.0398862542562,11.279828400735248,9.774156536006707,1.5056718647285416,10.337474812886056,0.14565180491193694,0.14565180491193694,-22.54658149432514,892,54.49421974651504,34.873463297592906,464669.67798650044
EXP_026,100,8,1.20,True,3.2,4.8,8,342.66677379510327,282.0398862542562,10.90488763272952,9.774156536006707,1.1307310967228146,10.336098444298864,0.10939631649372475,0.10939631649372475,-23.516482357576905,952,54.48194627846992,34.8732937960477,442666.7737951033
