data,valor,cdi_diario
2012-08-27,0.029919,0.00029919
2012-08-28,0.029919,0.00029919
2012-08-29,0.029883,0.00029883
2012-08-30,0.028259,0.00028259
2012-08-31,0.028259,0.00028259
2012-09-03,0.02837,0.0002837
2012-09-04,0.028296,0.00028296
2012-09-05,0.028296,0.00028296
2012-09-06,0.028296,0.00028296
2012-09-10,0.028259,0.00028259
2012-09-11,0.028222,0.00028222
2012-09-12,0.028186,0.00028186
2012-09-13,0.028186,0.00028186
2012-09-14,0.028149,0.00028149
2012-09-17,0.028112,0.00028112
2012-09-18,0.028075,0.00028074999999999997
2012-09-19,0.028075,0.00028074999999999997
2012-09-20,0.028149,0.00028149
2012-09-21,0.028149,0.00028149
2012-09-24,0.028149,0.00028149
2012-09-25,0.028259,0.00028259
2012-09-26,0.028222,0.00028222
2012-09-27,0.028186,0.00028186
2012-09-28,0.028186,0.00028186
2012-10-01,0.028186,0.00028186
2012-10-02,0.028149,0.00028149
2012-10-03,0.028186,0.00028186
2012-10-04,0.028186,0.00028186
2012-10-05,0.028186,0.00028186
2012-10-08,0.028186,0.00028186
2012-10-09,0.028149,0.00028149
2012-10-10,0.028075,0.00028074999999999997
2012-10-11,0.027001,0.00027001
2012-10-15,0.027001,0.00027001
2012-10-16,0.027038,0.00027037999999999997
2012-10-17,0.027075,0.00027075
2012-10-18,0.027149,0.00027149
2012-10-19,0.027149,0.00027149
2012-10-22,0.027297,0.00027297
2012-10-23,0.027297,0.00027297
2012-10-24,0.027334,0.00027334
2012-10-25,0.02726,0.0002726
2012-10-26,0.027186,0.00027185999999999996
2012-10-29,0.027149,0.00027149
2012-10-30,0.027112,0.00027112
2012-10-31,0.027186,0.00027185999999999996
2012-11-01,0.02726,0.0002726
2012-11-05,0.027297,0.00027297
2012-11-06,0.027297,0.00027297
2012-11-07,0.027334,0.00027334
2012-11-08,0.027186,0.00027185999999999996
2012-11-09,0.027186,0.00027185999999999996
2012-11-12,0.027112,0.00027112
2012-11-13,0.027075,0.00027075
2012-11-14,0.027075,0.00027075
2012-11-16,0.027038,0.00027037999999999997
2012-11-19,0.026964,0.00026964
2012-11-20,0.026889,0.00026889
2012-11-21,0.026815,0.00026815
2012-11-22,0.027186,0.00027185999999999996
2012-11-23,0.027297,0.00027297
